endTime,artistName,trackName,msPlayed,track_uri
2020-12-20 17:41,Traveling Wilburys,End Of The Line,209520,spotify:track:4HA2jo7wkMdN1lmLO6ryzE
2020-12-20 17:44,Bette Midler,The Rose,221373,spotify:track:562JrM9b7jiu8LgzV62x3o
2020-12-20 17:51,Elton John,Tiny Dancer,377093,spotify:track:2TVxnKdb3tqe1nhQWwwZCO
2020-12-20 17:55,Wings,Mull Of Kintyre,286346,spotify:track:24RwOcKkC0hdiN1j3zjN1E
2020-12-20 17:59,James Taylor,How Sweet It Is (To Be Loved By You) - 2019 Remaster,216364,spotify:track:75Nlnd9AJ4CYrLXgWGsuTF
2020-12-20 21:07,John Denver,"Leaving, On a Jet Plane - ""Greatest Hits"" Version",173101,spotify:track:3D8dwH690MXQRhtIZTSS9c
2020-12-21 11:10,Jon Bellion,Morning In America,255440,spotify:track:2JXNOtb0ANe6MzgRYDQG2J
2020-12-21 12:41,Sheppard,The Best Is Yet To Come,246036,spotify:track:3Cmk8tpw16p5KKnvN1HTgB
2020-12-21 12:42,Rixton,Hotel Ceiling,72888,spotify:track:2s5B2qJSK8kbFyFRiRq06b
2020-12-21 12:42,Andy Grammer,"Don't Give Up On Me - (From ""Five Feet Apart"")",801,
2020-12-21 12:45,League of Legends,Legends Never Die,5550,spotify:track:1FpVJ7HpZInE2GvhVE2TwT
2020-12-21 12:45,Rachel Platten,Fight Song,696,spotify:track:37f4ITSlgPX81ad2EvmVQr
2020-12-21 12:45,Paramore,Still into You,216013,spotify:track:1yjY7rpaAQvKwpdUliHx0d
2020-12-21 12:46,Andy Black,We Don't Have To Dance,1486,spotify:track:13b32GfUIo3BV93C8KtEdj
2020-12-21 12:46,Andy Black,We Don't Have To Dance,557,spotify:track:13b32GfUIo3BV93C8KtEdj
2020-12-21 12:46,Two Steps from Hell,Star Sky,1381,spotify:track:06AMpcajziFnEKniV25fiU
